Gender, Martial_Status, checking_account, Duration, Credit_history, Purpose, Credit_amount, Saving_Account, Employment, Installment, Debtors, Residence, Propety, Age, Other_installment, Housing, Credits, Job, Number_of_People, Telephone, Foreign_worker, Type_of_customer
male, single, no account, 24, existing paid back duly till now, business, 1258, <100 DM, 4-7 years, 4, none, 1, real estate, 25, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 12, other credits existing, radio/television, 717, <100 DM, >= 7 years, 4, none, 4, real estate, 52, none, own, 3, skilled employee, 1, none, yes, 1
male, single, no account, 6, all paid back duly, new car, 1204, <100-500 DM, 1-4 years, 4, none, 1, np property, 35, bank, rent, 1, skilled employee, 1, none, no, 1
male, single, >=200 DM, 24, existing paid back duly till now, furniture/equipment, 1925, <100 DM, 1-4 years, 2, none, 2, real estate, 26, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 18, existing paid back duly till now, radio/television, 433, <100 DM, unemplyed, 3, co-applicant, 4, real estate, 22, none, rent, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 6, other credits existing, new car, 666, >=100 DM, 4-7 years, 3, none, 4, real estate, 39, none, own, 2, unskilled resident, 1, yes, yes, 1
female, divorced/separated/married, >=200 DM, 12, existing paid back duly till now, furniture/equipment, 2251, <100 DM, 1-4 years, 1, none, 2, other, 46, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 30, existing paid back duly till now, new car, 2150, <100 DM, 1-4 years, 4, guarantor, 2, np property, 24, bank, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 24, delay in paying off, furniture/equipment, 4151, <100-500 DM, 1-4 years, 2, none, 3, society saving agreement, 35, none, own, 2, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 9, existing paid back duly till now, furniture/equipment, 2030, unknown, 4-7 years, 2, none, 1, other, 24, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 60, delay in paying off, radio/television, 7418, unknown, 1-4 years, 1, none, 1, real estate, 27, none, own, 1, unskilled resident, 1, none, yes, 1
male, single, no account, 24, other credits existing, radio/television, 2684, <100 DM, 1-4 years, 4, none, 2, real estate, 35, none, own, 2, unskilled resident, 1, none, yes, 1
male, divorced/separated, 0 DM, 12, all at this bank paid back duly, radio/television, 2149, <100 DM, 1-4 years, 4, none, 1, np property, 29, none, for free, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, no account, 15, existing paid back duly till now, used car, 3812, <100-500 DM, <1 year, 1, none, 4, other, 23, none, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 11, other credits existing, radio/television, 1154, <100-500 DM, unemplyed, 4, none, 4, real estate, 57, none, own, 3, unskilled resident, 1, none, yes, 1
male, single, 0 DM, 12, existing paid back duly till now, furniture/equipment, 1657, <100 DM, 1-4 years, 2, none, 2, real estate, 27, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, radio/television, 1603, <100 DM, >= 7 years, 4, none, 4, other, 55, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 18, other credits existing, new car, 5302, <100 DM, >= 7 years, 2, none, 4, np property, 36, none, for free, 3, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, education, 2748, <100 DM, >= 7 years, 2, none, 4, np property, 57, bank, for free, 3, unskilled resident, 1, none, yes, 1
male, single, no account, 10, other credits existing, new car, 1231, <100 DM, >= 7 years, 3, none, 4, real estate, 32, none, own, 2, unskilled resident, 2, none, no, 1
male, single, 0-200 DM, 15, existing paid back duly till now, radio/television, 802, <100 DM, >= 7 years, 4, none, 3, other, 37, none, own, 1, skilled employee, 2, none, yes, 2
male, single, no account, 36, other credits existing, business, 6304, unknown, >= 7 years, 4, none, 4, real estate, 36, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 24, existing paid back duly till now, radio/television, 1533, <100 DM, <1 year, 4, none, 3, other, 38, stores, own, 1, skilled employee, 1, yes, yes, 1
male, divorced/separated, 0 DM, 14, existing paid back duly till now, new car, 8978, <100 DM, >= 7 years, 1, none, 4, society saving agreement, 45, none, own, 1, manager/self-employed, 1, yes, no, 2
male, single, no account, 24, existing paid back duly till now, radio/television, 999, unknown, >= 7 years, 4, none, 2, other, 25, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 18, existing paid back duly till now, new car, 2662, unknown, 4-7 years, 4, none, 3, society saving agreement, 32, none, own, 1, skilled employee, 1, none, no, 1
female, divorced/separated/married, no account, 12, other credits existing, furniture/equipment, 1402, <500-1000 DM, 4-7 years, 3, none, 4, other, 37, none, rent, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 48, all at this bank paid back duly, new car, 12169, unknown, unemplyed, 4, co-applicant, 4, np property, 36, none, for free, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 48, existing paid back duly till now, radio/television, 3060, <100 DM, 4-7 years, 4, none, 4, real estate, 28, none, own, 2, skilled employee, 1, none, yes, 2
male, divorced/separated, 0 DM, 30, existing paid back duly till now, repairs, 11998, <100 DM, <1 year, 1, none, 1, np property, 34, none, own, 1, unskilled resident, 1, yes, yes, 2
male, single, no account, 9, existing paid back duly till now, radio/television, 2697, <100 DM, 1-4 years, 1, none, 2, real estate, 32, none, own, 1, skilled employee, 2, none, yes, 1
female, divorced/separated/married, no account, 18, other credits existing, radio/television, 2404, <100 DM, 1-4 years, 2, none, 2, other, 26, none, own, 2, skilled employee, 1, none, yes, 1
male, divorced/separated, 0 DM, 12, existing paid back duly till now, furniture/equipment, 1262, unknown, >= 7 years, 2, none, 4, society saving agreement, 49, none, own, 1, unskilled resident, 1, yes, yes, 1
female, divorced/separated/married, no account, 6, existing paid back duly till now, furniture/equipment, 4611, <100 DM, <1 year, 1, none, 4, society saving agreement, 32, none, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 24, existing paid back duly till now, radio/television, 1901, <100-500 DM, 1-4 years, 4, none, 4, other, 29, none, rent, 1, manager/self-employed, 1, yes, yes, 1
male, single, no account, 15, other credits existing, used car, 3368, >=100 DM, >= 7 years, 3, none, 4, np property, 23, none, rent, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 12, existing paid back duly till now, furniture/equipment, 1574, <100 DM, 1-4 years, 4, none, 2, real estate, 50, none, own, 1, skilled employee, 1, none, yes, 1
male, single, >=200 DM, 18, all at this bank paid back duly, radio/television, 1445, unknown, 4-7 years, 4, none, 4, other, 49, bank, own, 1, unskilled resident, 1, none, yes, 1
male, single, no account, 15, other credits existing, furniture/equipment, 1520, unknown, >= 7 years, 4, none, 4, society saving agreement, 63, none, own, 1, skilled employee, 1, none, yes, 1
male, divorced/separated, 0-200 DM, 24, other credits existing, new car, 3878, <100-500 DM, <1 year, 4, none, 2, other, 37, none, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 47, existing paid back duly till now, new car, 10722, <100 DM, <1 year, 1, none, 1, real estate, 35, none, own, 1, unskilled resident, 1, yes, yes, 1
male, single, 0 DM, 48, existing paid back duly till now, used car, 4788, <100 DM, 4-7 years, 4, none, 3, society saving agreement, 26, none, own, 1, skilled employee, 2, none, yes, 1
male, single, 0-200 DM, 48, delay in paying off, others, 7582, <100-500 DM, unemplyed, 2, none, 4, np property, 31, none, for free, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 12, existing paid back duly till now, radio/television, 1092, <100 DM, 1-4 years, 4, guarantor, 4, real estate, 49, none, own, 2, skilled employee, 1, yes, yes, 1
male, married/widowed, 0 DM, 24, delay in paying off, radio/television, 1024, <100 DM, <1 year, 4, none, 4, real estate, 48, stores, own, 1, skilled employee, 1, none, yes, 2
male, married/widowed, no account, 12, existing paid back duly till now, business, 1076, <100 DM, 1-4 years, 2, none, 2, real estate, 26, none, own, 1, skilled employee, 1, yes, no, 1
male, married/widowed, 0-200 DM, 36, existing paid back duly till now, used car, 9398, <100 DM, <1 year, 1, none, 4, other, 28, none, rent, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, 0 DM, 24, other credits existing, used car, 6419, <100 DM, >= 7 years, 2, none, 4, np property, 44, none, for free, 2, manager/self-employed, 2, yes, yes, 1
male, single, >=200 DM, 42, other credits existing, used car, 4796, <100 DM, >= 7 years, 4, none, 4, np property, 56, none, for free, 1, skilled employee, 1, none, yes, 1
male, divorced/separated, no account, 48, other credits existing, business, 7629, unknown, >= 7 years, 4, none, 2, other, 46, bank, own, 2, manager/self-employed, 2, none, yes, 1
female, divorced/separated/married, 0-200 DM, 48, existing paid back duly till now, furniture/equipment, 9960, <100 DM, <1 year, 1, none, 2, other, 26, none, own, 1, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, no account, 12, existing paid back duly till now, used car, 4675, unknown, <1 year, 1, none, 4, other, 20, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, no account, 10, existing paid back duly till now, new car, 1287, unknown, >= 7 years, 4, co-applicant, 2, society saving agreement, 45, none, own, 1, unskilled resident, 1, none, no, 1
male, single, no account, 18, existing paid back duly till now, furniture/equipment, 2515, <100 DM, 1-4 years, 3, none, 4, real estate, 43, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 21, other credits existing, furniture/equipment, 2745, >=100 DM, 4-7 years, 3, none, 2, other, 32, none, own, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 6, existing paid back duly till now, new car, 672, <100 DM, unemplyed, 1, none, 4, real estate, 54, none, own, 1, unskilled non-resident, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 36, all paid back duly, radio/television, 3804, <100 DM, 1-4 years, 4, none, 1, other, 42, none, own, 1, skilled employee, 1, yes, yes, 2
male, single, >=200 DM, 24, other credits existing, new car, 1344, unknown, 4-7 years, 4, none, 2, real estate, 37, bank, own, 2, unskilled resident, 2, none, yes, 2
male, single, 0 DM, 10, other credits existing, new car, 1038, <100 DM, 4-7 years, 4, co-applicant, 3, society saving agreement, 49, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 48, other credits existing, new car, 10127, <500-1000 DM, 1-4 years, 2, none, 2, np property, 44, bank, for free, 1, skilled employee, 1, none, yes, 2
male, divorced/separated, no account, 6, existing paid back duly till now, furniture/equipment, 1543, >=100 DM, 1-4 years, 4, none, 2, real estate, 33, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 30, existing paid back duly till now, used car, 4811, unknown, 4-7 years, 2, none, 4, society saving agreement, 24, stores, rent, 1, unskilled resident, 1, none, yes, 1
male, married/widowed, 0 DM, 12, existing paid back duly till now, radio/television, 727, <100-500 DM, <1 year, 4, none, 3, np property, 33, none, own, 1, unskilled resident, 1, yes, yes, 2
female, divorced/separated/married, 0-200 DM, 8, existing paid back duly till now, furniture/equipment, 1237, <100 DM, 1-4 years, 3, none, 4, real estate, 24, none, own, 1, skilled employee, 1, none, yes, 2
male, married/widowed, 0-200 DM, 9, existing paid back duly till now, new car, 276, <100 DM, 1-4 years, 4, none, 4, real estate, 22, none, rent, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 48, existing paid back duly till now, others, 5381, unknown, unemplyed, 3, none, 4, np property, 40, bank, for free, 1, unskilled non-resident, 1, yes, yes, 1
male, single, no account, 24, existing paid back duly till now, furniture/equipment, 5511, <100-500 DM, 1-4 years, 4, none, 1, other, 25, stores, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, >=200 DM, 24, existing paid back duly till now, furniture/equipment, 3749, <100 DM, <1 year, 2, none, 4, other, 26, none, own, 1, skilled employee, 1, none, yes, 1
male, married/widowed, 0-200 DM, 12, existing paid back duly till now, new car, 685, <100 DM, 4-7 years, 2, none, 3, other, 25, bank, own, 1, unskilled resident, 1, none, yes, 2
male, single, >=200 DM, 4, existing paid back duly till now, new car, 1494, unknown, <1 year, 1, none, 2, real estate, 29, none, own, 1, unskilled resident, 2, none, no, 1
male, single, 0 DM, 36, all at this bank paid back duly, furniture/equipment, 2746, <100 DM, >= 7 years, 4, none, 4, other, 31, bank, own, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 12, existing paid back duly till now, furniture/equipment, 708, <100 DM, 1-4 years, 2, guarantor, 3, society saving agreement, 38, none, own, 1, unskilled resident, 2, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, existing paid back duly till now, furniture/equipment, 4351, unknown, 1-4 years, 1, none, 4, society saving agreement, 48, none, own, 1, unskilled resident, 1, yes, yes, 1
male, single, no account, 12, other credits existing, education, 701, <100 DM, 1-4 years, 4, none, 2, other, 32, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 15, delay in paying off, furniture/equipment, 3643, <100 DM, >= 7 years, 1, none, 4, society saving agreement, 27, none, own, 2, unskilled resident, 1, none, yes, 1
male, married/widowed, 0-200 DM, 30, other credits existing, new car, 4249, <100 DM, unemplyed, 4, none, 2, other, 28, none, own, 2, manager/self-employed, 1, none, yes, 2
male, divorced/separated, 0 DM, 24, existing paid back duly till now, radio/television, 1938, <100 DM, <1 year, 4, none, 3, society saving agreement, 32, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 24, existing paid back duly till now, used car, 2910, <100 DM, 4-7 years, 2, none, 1, np property, 34, none, for free, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0 DM, 18, existing paid back duly till now, furniture/equipment, 2659, >=100 DM, 1-4 years, 4, none, 2, other, 28, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 18, other credits existing, new car, 1028, <100 DM, 1-4 years, 4, none, 3, real estate, 36, none, own, 2, skilled employee, 1, none, yes, 1
male, single, 0 DM, 8, other credits existing, new car, 3398, <100 DM, 4-7 years, 1, none, 4, real estate, 39, none, own, 2, unskilled resident, 1, none, no, 1
male, single, no account, 12, other credits existing, furniture/equipment, 5801, unknown, >= 7 years, 2, none, 4, society saving agreement, 49, none, rent, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 24, existing paid back duly till now, new car, 1525, >=100 DM, 4-7 years, 4, none, 3, other, 34, none, own, 1, skilled employee, 2, yes, yes, 1
male, single, >=200 DM, 36, existing paid back duly till now, radio/television, 4473, <100 DM, >= 7 years, 4, none, 2, other, 31, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 6, existing paid back duly till now, radio/television, 1068, <100 DM, >= 7 years, 4, none, 4, other, 28, none, own, 1, skilled employee, 2, none, yes, 1
male, single, 0 DM, 24, other credits existing, used car, 6615, <100 DM, unemplyed, 2, none, 4, np property, 75, none, for free, 2, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, no account, 18, other credits existing, education, 1864, <100-500 DM, 1-4 years, 4, none, 2, real estate, 30, none, own, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 60, existing paid back duly till now, new car, 7408, <100-500 DM, <1 year, 4, none, 2, society saving agreement, 24, none, own, 1, manager/self-employed, 1, none, yes, 2
female, divorced/separated/married, no account, 48, other credits existing, used car, 11590, <100-500 DM, 1-4 years, 2, none, 4, other, 24, bank, rent, 2, unskilled resident, 1, none, yes, 2
male, single, 0 DM, 24, all paid back duly, furniture/equipment, 4110, <100 DM, >= 7 years, 3, none, 4, np property, 23, bank, rent, 2, skilled employee, 2, none, yes, 2
male, divorced/separated, 0 DM, 6, other credits existing, furniture/equipment, 3384, <100 DM, 1-4 years, 1, none, 4, real estate, 44, none, rent, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, 0-200 DM, 13, existing paid back duly till now, radio/television, 2101, <100 DM, <1 year, 2, guarantor, 4, society saving agreement, 23, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 15, existing paid back duly till now, domestic appliances, 1275, unknown, 1-4 years, 4, none, 2, other, 24, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 24, existing paid back duly till now, furniture/equipment, 4169, <100 DM, 1-4 years, 4, none, 4, society saving agreement, 28, none, own, 1, skilled employee, 1, none, yes, 1
male, divorced/separated, 0-200 DM, 10, existing paid back duly till now, furniture/equipment, 1521, <100 DM, 1-4 years, 4, none, 2, other, 31, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, other credits existing, education, 5743, <100 DM, <1 year, 2, none, 4, np property, 24, none, for free, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 21, existing paid back duly till now, furniture/equipment, 3599, <100 DM, 4-7 years, 1, none, 4, other, 26, none, rent, 1, unskilled resident, 1, none, yes, 1
male, married/widowed, 0-200 DM, 18, existing paid back duly till now, radio/television, 3213, <500-1000 DM, <1 year, 1, none, 3, real estate, 25, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 18, existing paid back duly till now, business, 4439, <100 DM, >= 7 years, 1, co-applicant, 1, real estate, 33, bank, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, >=200 DM, 10, existing paid back duly till now, new car, 3949, <100 DM, <1 year, 1, guarantor, 1, society saving agreement, 37, none, own, 1, unskilled resident, 2, none, yes, 1
female, divorced/separated/married, no account, 15, other credits existing, radio/television, 1459, <100 DM, 1-4 years, 4, none, 2, other, 43, none, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 13, other credits existing, radio/television, 882, <100 DM, <1 year, 4, guarantor, 4, real estate, 23, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, existing paid back duly till now, radio/television, 3758, <500-1000 DM, unemplyed, 1, none, 4, np property, 23, none, rent, 1, unskilled non-resident, 1, none, yes, 1
male, single, no account, 6, delay in paying off, business, 1743, <100-500 DM, 1-4 years, 1, none, 2, real estate, 34, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 9, other credits existing, education, 1136, >=100 DM, >= 7 years, 4, none, 3, np property, 32, none, for free, 2, skilled employee, 2, none, yes, 2
female, divorced/separated/married, no account, 9, existing paid back duly till now, domestic appliances, 1236, <100 DM, <1 year, 1, none, 4, real estate, 23, none, rent, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 9, existing paid back duly till now, furniture/equipment, 959, <100 DM, 1-4 years, 1, none, 2, other, 29, none, own, 1, skilled employee, 1, none, no, 2
male, single, no account, 18, other credits existing, used car, 3229, unknown, unemplyed, 2, none, 4, np property, 38, none, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0 DM, 12, all paid back duly, radio/television, 6199, <100 DM, 1-4 years, 4, none, 2, society saving agreement, 28, none, rent, 2, skilled employee, 1, yes, yes, 2
male, single, no account, 10, existing paid back duly till now, education, 727, <500-1000 DM, >= 7 years, 4, none, 4, np property, 46, none, for free, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 24, existing paid back duly till now, new car, 1246, <100 DM, <1 year, 4, none, 2, real estate, 23, stores, own, 1, unskilled resident, 1, none, yes, 2
male, single, no account, 12, other credits existing, radio/television, 2331, unknown, >= 7 years, 1, co-applicant, 4, real estate, 49, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 36, delay in paying off, radio/television, 4463, <100 DM, 1-4 years, 4, none, 2, other, 26, none, own, 2, manager/self-employed, 1, yes, yes, 2
male, married/widowed, no account, 12, existing paid back duly till now, radio/television, 776, <100 DM, 1-4 years, 4, none, 2, real estate, 28, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 30, existing paid back duly till now, furniture/equipment, 2406, <100 DM, 4-7 years, 4, none, 4, real estate, 23, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 18, existing paid back duly till now, education, 1239, unknown, 1-4 years, 4, none, 4, np property, 61, none, for free, 1, skilled employee, 1, none, yes, 1
male, single, >=200 DM, 12, existing paid back duly till now, radio/television, 3399, unknown, >= 7 years, 2, none, 3, other, 37, none, own, 1, manager/self-employed, 1, none, yes, 1
female, divorced/separated/married, >=200 DM, 12, delay in paying off, new car, 2247, <100 DM, 1-4 years, 2, none, 2, other, 36, stores, own, 2, skilled employee, 1, yes, yes, 1
male, married/widowed, no account, 6, existing paid back duly till now, furniture/equipment, 1766, <100 DM, 1-4 years, 1, none, 2, society saving agreement, 21, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 18, existing paid back duly till now, furniture/equipment, 2473, <100 DM, unemplyed, 4, none, 1, other, 25, none, own, 1, unskilled non-resident, 1, none, yes, 2
male, single, no account, 12, existing paid back duly till now, business, 1542, <100 DM, 4-7 years, 2, none, 4, other, 36, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 18, other credits existing, used car, 3850, <100 DM, 4-7 years, 3, none, 1, other, 27, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 18, existing paid back duly till now, furniture/equipment, 3650, <100 DM, <1 year, 1, none, 4, other, 22, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 36, existing paid back duly till now, furniture/equipment, 3446, <100 DM, >= 7 years, 4, none, 2, other, 42, none, own, 1, skilled employee, 2, none, yes, 2
female, divorced/separated/married, 0-200 DM, 18, existing paid back duly till now, furniture/equipment, 3001, <100 DM, 4-7 years, 2, none, 4, real estate, 40, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, no account, 36, existing paid back duly till now, new car, 3079, unknown, 1-4 years, 4, none, 4, real estate, 36, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 18, other credits existing, radio/television, 6070, <100 DM, >= 7 years, 3, none, 4, other, 33, none, own, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 10, other credits existing, furniture/equipment, 2146, <100 DM, <1 year, 1, none, 3, real estate, 23, none, rent, 2, skilled employee, 1, none, yes, 1
male, single, no account, 60, other credits existing, new car, 13756, unknown, >= 7 years, 2, none, 4, np property, 63, bank, for free, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 60, all at this bank paid back duly, others, 14782, <100-500 DM, >= 7 years, 3, none, 4, np property, 60, bank, for free, 2, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, 0 DM, 48, all at this bank paid back duly, business, 7685, <100 DM, 4-7 years, 2, guarantor, 4, other, 37, none, rent, 1, skilled employee, 1, none, yes, 2
male, married/widowed, no account, 18, delay in paying off, radio/television, 2320, <100 DM, unemplyed, 2, none, 3, real estate, 34, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 7, delay in paying off, radio/television, 846, unknown, >= 7 years, 3, none, 4, np property, 36, none, for free, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, new car, 14318, <100 DM, >= 7 years, 4, none, 2, np property, 57, none, for free, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, no account, 6, other credits existing, new car, 362, <100-500 DM, 1-4 years, 4, none, 4, other, 52, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0 DM, 20, existing paid back duly till now, furniture/equipment, 2212, unknown, 4-7 years, 4, none, 4, other, 39, none, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 18, existing paid back duly till now, used car, 12976, <100 DM, unemplyed, 3, none, 4, np property, 38, none, for free, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, no account, 22, existing paid back duly till now, new car, 1283, unknown, 4-7 years, 4, none, 4, society saving agreement, 25, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, >=200 DM, 12, existing paid back duly till now, new car, 1330, <100 DM, <1 year, 4, none, 1, real estate, 26, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 30, delay in paying off, business, 4272, <100-500 DM, 1-4 years, 2, none, 2, society saving agreement, 26, none, own, 2, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, no account, 18, other credits existing, radio/television, 2238, <100 DM, 1-4 years, 2, none, 1, other, 25, none, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 18, existing paid back duly till now, radio/television, 1126, unknown, <1 year, 4, none, 2, real estate, 21, none, rent, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 18, other credits existing, furniture/equipment, 7374, <100 DM, unemplyed, 4, none, 4, society saving agreement, 40, stores, own, 2, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 15, other credits existing, business, 2326, <500-1000 DM, 1-4 years, 2, none, 4, other, 27, bank, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 9, existing paid back duly till now, business, 1449, <100 DM, 4-7 years, 3, none, 2, other, 27, none, own, 2, skilled employee, 1, none, yes, 1
male, married/widowed, no account, 18, existing paid back duly till now, new car, 1820, <100 DM, 1-4 years, 2, none, 2, society saving agreement, 30, none, own, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 12, existing paid back duly till now, furniture/equipment, 983, >=100 DM, <1 year, 1, none, 4, real estate, 19, none, rent, 1, unskilled resident, 1, none, yes, 1
male, single, 0 DM, 36, existing paid back duly till now, new car, 3249, <100 DM, 4-7 years, 2, none, 4, np property, 39, bank, for free, 1, manager/self-employed, 2, yes, yes, 1
female, divorced/separated/married, 0 DM, 6, other credits existing, radio/television, 1957, <100 DM, 4-7 years, 1, none, 4, other, 31, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 9, other credits existing, furniture/equipment, 2406, <100 DM, unemplyed, 2, none, 3, other, 31, none, own, 1, manager/self-employed, 1, none, yes, 1
male, single, 0-200 DM, 39, delay in paying off, education, 11760, <100-500 DM, 4-7 years, 2, none, 3, np property, 32, none, rent, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 12, existing paid back duly till now, furniture/equipment, 2578, <100 DM, unemplyed, 3, none, 4, np property, 55, none, for free, 1, manager/self-employed, 1, none, yes, 1
male, married/widowed, 0 DM, 36, other credits existing, furniture/equipment, 2348, <100 DM, 1-4 years, 3, none, 2, society saving agreement, 46, none, own, 2, skilled employee, 1, yes, yes, 1
male, divorced/separated, 0-200 DM, 12, existing paid back duly till now, new car, 1223, <100 DM, >= 7 years, 1, none, 1, real estate, 46, none, rent, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, no account, 24, other credits existing, radio/television, 1516, >=100 DM, 1-4 years, 4, none, 1, real estate, 43, none, own, 2, unskilled resident, 1, none, yes, 1
male, married/widowed, no account, 18, existing paid back duly till now, radio/television, 1473, <100 DM, <1 year, 3, none, 4, real estate, 39, none, own, 1, skilled employee, 1, yes, yes, 1
male, married/widowed, 0-200 DM, 18, other credits existing, business, 1887, unknown, 1-4 years, 4, none, 4, real estate, 28, bank, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 24, delay in paying off, business, 8648, <100 DM, <1 year, 2, none, 2, other, 27, bank, own, 2, skilled employee, 1, yes, yes, 2
male, single, no account, 14, delay in paying off, new car, 802, <100 DM, 1-4 years, 4, none, 2, other, 27, none, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 18, delay in paying off, new car, 2899, unknown, >= 7 years, 4, none, 4, other, 43, none, own, 1, skilled employee, 2, none, yes, 1
male, married/widowed, 0-200 DM, 24, existing paid back duly till now, radio/television, 2039, <100 DM, <1 year, 1, none, 1, society saving agreement, 22, none, own, 1, skilled employee, 1, yes, yes, 2
male, single, no account, 24, other credits existing, used car, 2197, unknown, 4-7 years, 4, none, 4, other, 43, none, own, 2, skilled employee, 2, yes, yes, 1
